Study ID,Geographical location,PET participants,MRI participants,Average Age (Years),Male,Female,Caucasian,Black,African-American,Asian,Other,Not specified,Asian American,Middle Eastern,Carribean,Jewish,Caucasian-Hispanic
477,Montreal,,20,21.53,20,,,,,,,,,,,,
478,Montreal,9,18,27.1,11,7,,,,,,,,,,,
479,Montreal,,14,23.4,8,6,,,,,,,,,,,
480,Montreal,,10,,4,6,,,,,,,,,,,
481,Montreal,,15,35,1,14,,,,,,,,,,,
482,Montreal,,22,,,,,,,,,,,,,,
483,Montreal,,51,62,31,20,,,,,,,,,,,
484,Montreal,,38,40.7,13,25,,,,,,,,,,,
485,Montreal,,14,21.1,14,,,,,,,,,,,,
486,Montreal,,12,35.2,8,4,,,,,,,,,,,
487,Montreal,,136,9.22,92,44,116,,,,,,,,,,
488,Montreal,,438,8.3,,,438,,,,,,,,,,
489,Montreal,,61,27.92,33,28,,,,,,,,,,,
490,Montreal,,19,38.7,15,4,,,,,,,,,,,
491,Montreal,,61,33.8,25,36,,,,,,,,,,,
492,Sherbrooke,,51,60,31,20,,,,,,,,,,,
493,Montreal,10,10,23,5,5,,,,,,,,,,,
494,Montreal,,42,33.95,19,23,,,,,,,,,,,
495,Montreal,,26,22.71,12,14,,,,,,,,,,,
496,Montreal,12,,23,12,,,,,,,,,,,,
497,Montreal,,10,26,5,5,,,,,,,,,,,
498,Montreal,,16,67,10,6,,,,,,,,,,,
499,Quebec City,,79,45.3,20,59,,,,,,,,,,,
500,Montreal,,25,29.4,9,16,,,,,,,,,,,
501,Montreal,,25,33,13,12,,,,,,,,,,,
502,Montreal,,12,25,8,4,,,,,,,,,,,
503,Montreal,,23,,,,,,,,,,,,,,
504,"Montreal, Sherbrooke, Quebec City",,166,72.3,76,90,,,,,,,,,,,
505,Montreal,,15,,,,,,,,,,,,,,
506,Montreal,,25,32.08,16,9,,,,,,,,,,,
507,Montreal,,56,24.47,19,37,,,,,,,,,,,
508,Montreal,,62,43.47,38,24,,,,,,,,,,,
509,Montreal,19,19,30,10,9,,,,,,,,,,,
510,Montreal,,17,22.6,4,13,,,,,,,,,,,
511,Montreal,,8,,7,1,,,,,,,,,,,
512,Montreal,,46,24,18,28,,,,,,,,,,,
513,Montreal,,12,40.7,6,6,,,,,,,,,,,
514,Montreal,,55,21.88,28,27,,,,,,,,,,,
515,Montreal,,46,22.76,,46,,,,,,,,,,,
516,Montreal,,4,37.5,,4,,,,,,,,,,,
517,Montreal,,54,14.9,34,20,,,,,,,,,,,
518,Montreal,,22,29,15,7,,,,,,,,,,,
519,Montreal,,82,64.2,50,32,,,,,,,,,,,
520,Montreal,,46,24,19,27,,,,,,,,,,,
521,Montreal,10,,24.2,4,6,,,,,,,,,,,
522,Montreal,,20,,10,10,,,,,,,,,,,
523,Montreal,,9,33.9,6,3,,,,,,,,,,,
524,Quebec City,,16,50,11,5,,,,,,,,,,,
525,Montreal,,13,25.35,6,7,,,,,,,,,,,
526,Montreal,,30,36.1,21,9,,,,,,,,,,,
527,Montreal,8,8,24,3,5,,,,,,,,,,,
528,Montreal,,12,25.12,,,,,,,,,,,,,
529,Montreal,,4,,2,2,,,,,,,,,,,
530,Montreal,,54,35.3,22,32,,,,,,,,,,,
531,Montreal,10,,22.2,,10,,,,,,,,,,,
532,Montreal,,45,67.96,12,33,,,,,,,,,,,
533,Sherbrooke,39,39,74.6,18,21,,,,,,,,,,,
534,Montreal,,28,22.5,28,,,,,,,,,,,,
535,Montreal,,43,30,20,23,,,,,,,,,,,
536,Montreal,,20,,,,,,,,,,,,,,
537,Montreal,,40,32.2,22,18,,,,,,,,,,,
538,Montreal,,115,23.6,78,37,,,,,,,,,,,
539,Montreal,,15,22.6,9,6,,,,,,,,,,,
540,Montreal,,30,,9,21,,,,,,,,,,,
541,Montreal,,62,10.46,28,34,,,,,,,,,,,
542,Montreal,22,22,,,,,,,,,,,,,,
543,Montreal,,15,32.13,12,3,,,,,,,,,,,
544,Montreal,,10,25.3,5,5,,,,,,,,,,,
545,Montreal,,76,,36,40,,,,,,,,,,,
546,Montreal,,5,25.2,4,1,,,,,,,,,,,
547,Montreal,,25,26.95,,,,,,,,,,,,,
548,Montreal,,7,21.1,2,5,,,,,,,,,,,
549,Montreal,,28,44.3,28,,26,,,,2,,,,,,
550,Montreal,,56,24.5,19,37,,,,,,,,,,,
551,Montreal,,8,,7,1,,,,,,,,,,,
552,Montreal,12,12,22.6,12,,,,,,,,,,,,
553,Montreal,,,,,,,,,,,,,,,,
554,Montreal,,36,29.9,,,,,,,,,,,,,
555,Montreal,,20,22.5,,,,,,,,,,,,,
556,Montreal,,65,32.7,,,,,,,,,,,,,
557,Montreal,,,0.64,,,,,,,,,,,,,
558,Montreal,,19,,13,6,,,,,,,,,,,
559,Montreal,6,6,,,,,,,,,,,,,,
560,Montreal,,29,28.9,14,15,,,,,,,,,,,
561,Montreal,,,25.75,,,,,,,,,,,,,
562,Montreal,,20,25.5,11,9,,,,,,,,,,,
563,Sherbrooke,,53,60,33,20,,,,,,,,,,,
564,Montreal,,27,28.8,10,17,,,,,,,,,,,
565,Montreal,21,21,61.5,17,4,,,,,,,,,,,
566,Sherbrooke,,171,11.33,104,67,,,,,,,,,,,
567,Saguenay Lac St. Jean,,378,15.7,132,246,,,,,,,,,,,
568,Montreal,,40,25.25,23,17,,,,,,,,,,,
569,Montreal,,36,43,22,14,,,,,,,,,,,
570,Montreal,,14,25.6,7,7,,,,,,,,,,,
571,Montreal,,15,22.6,9,6,,,,,,,,,,,
572,Montreal,,1,26,,1,,,,,,,,,,,
573,Montreal,20,28,22,18,10,,,,,,,,,,,
574,Montreal,,24,22.08,17,7,,,,,,,,,,,
575,Montreal,,29,30.3,13,16,,,,,,,,,,,
576,Montreal,,53,62.2,32,21,,,,,,,,,,,
577,Montreal,,69,26.7,50,19,,,,,,,,,,,
578,Montreal,18,,25.6,18,,,,,,,,,,,,
579,Montreal,,12,,4,8,,,,,,,,,,,
580,Montreal,,30,60.4,19,11,,,,,,,,,,,
581,Montreal,,12,23.6,6,6,,,,,,,,,,,
582,Montreal,,22,,,,,,,,,,,,,,
583,Montreal,,9,24.9,4,5,,,,,,,,,,,
584,Montreal,,40,33.7,14,26,,,,,,,,,,,
585,Montreal,,15,23.4,9,6,,,,,,,,,,,
586,Montreal,,73,34.56,50,23,,,,,,,,,,,
587,Montreal,,14,40,6,8,,,,,,,,,,,
588,Montreal,45,,51.6,23,11,,,,,,,,,,,
589,Montreal,,18,54.9,6,12,,,,,,,,,,,
590,Montreal,10,10,,,,,,,,,,,,,,
591,Montreal,,60,43.3,23,37,,,,,,,,,,,
592,Montreal,,14,22.6,7,7,,,,,,,,,,,
593,Montreal,,11,63.9,7,4,,,,,,,,,,,
594,Montreal,,9,,7,2,,,,,,,,,,,
595,Montreal,,42,34.54,29,13,,,,,,,,,,,
596,Montreal,,18,25,12,,,,,,,,,,,,
597,Montreal,,12,29.8,6,6,,,,,,,,,,,
598,Montreal,,5,31,3,2,,,,,,,,,,,
599,Montreal,,68,25,29,39,,,,,,,,,,,
600,Montreal,,24,21.34,7,17,,,,,,,,,,,
601,Quebec City,,32,67.5,22,10,,,,,,,,,,,
602,Montreal,12,12,39.5,10,2,,,,,,,,,,,
603,Montreal,,22,23.8,12,10,,,,,,,,,,,
604,Montreal,,98,20.3,41,57,,,,,,,,,,,
605,Montreal,18,,24.65,11,7,,,,,,,,,,,
606,Montreal,,6,,2,4,,,,,,,,,,,
607,Montreal,,17,25,9,8,,,,,,,,,,,
608,Quebec City,,52,79,33,19,,,,,,,,,,,
609,Montreal,,12,,,,,,,,,,,,,,
610,Montreal,,37,26.19,15,22,,,,,,,,,,,
611,Montreal,,46,24.5,18,28,,,,,,,,,,,
612,Montreal,,66,,,,,,,,,,,,,,
613,Montreal,,14,26,,9,,,,,,,,,,,
614,Montreal,9,9,25.6,,9,,,,,,,,,,,
615,Sherbrooke,,94,64.9,,,,,,,,,,,,,
616,Montreal,,19,27.63,7,12,,,,,,,,,,,
617,Montreal,,53,32.35,34,19,,,,,,,,,,,
618,Montreal,,24,22.5,24,,,,,,,,,,,,
619,Montreal,,60,63.4,88,19,,,,,,,,,,,
620,Montreal,,15,24,6,9,,,,,,,,,,,
621,Montreal,,9,,,,,,,,,,,,,,
622,Montreal,,26,0.74,16,10,,,,,,,,,,,
623,Montreal,,15,31.3,,,,,,,,,,,,,
624,Montreal,15,15,,,,,,,,,,,,,,
625,Montreal,,13,24.3,6,7,,,,,,,,,,,
626,Montreal,,68,32.3,34,34,,,,,,,,,,,
627,Montreal,,,64.4,,,,,,,,,,,,,
628,Montreal,,38,36.6,26,12,,,,,,,,,,,
629,Montreal,9,9,,,,,,,,,,,,,,
630,Montreal,,7,,7,0,,,,,,,,,,,
631,Montreal,,60,43.3,22,38,,,,,,,,,,,
632,Montreal,10,10,22,5,5,,,,,,,,,,,
633,Montreal,,15,,5,10,,,,,,,,,,,
634,Montreal,,5,,,,,,,,,,,,,,
635,Montreal,,20,48.4,10,10,,,,,,,,,,,
636,Montreal,,28,20.95,28,,,,,,,,,,,,
637,Montreal,11,11,23.4,,11,,,,,,,,,,,
638,Montreal,,55,24.1,21,34,,,,,,,,,,,
639,Montreal,,14,26.5,7,7,,,,,,,,,,,
640,Montreal,6,,24,6,,,,,,,,,,,,
641,Montreal,,54,30.85,30,24,,,,,,,,,,,
642,Montreal,,12,26,7,5,,,,,,,,,,,
643,Montreal,,27,23.3,10,17,,,,,,,,,,,
644,Montreal,,16,22.63,7,9,,,,,,,,,,,
645,Montreal,,24,61.8,15,9,,,,,,,,,,,
646,Montreal,,20,,7,13,,,,,,,,,,,
647,Montreal,15,15,24,6,9,,,,,,,,,,,
648,Montreal,12,,,6,6,,,,,,,,,,,
649,Montreal,,88,29.2,28,26,,,,,,,,,,,
650,Montreal,,62,14.8,35,27,,,,,,,,,,,
651,Montreal,,119,24.28,48,71,,,,,,,,,,,
652,Montreal,,61,41.34,29,32,,,,,,,,,,,
653,Montreal,,36,37.5,28,8,,,,,,,,,,,
654,Montreal,,13,,,,,,,,,,,,,,
655,Montreal,,66,33.08,66,,,,,,,,,,,,
656,Montreal,,20,21.6,8,12,,,,,,,,,,,
657,Montreal,5,,25.4,3,2,,,,,,,,,,,
658,Montreal,,15,,,,,,,,,,,,,,
659,Montreal,6,6,31.7,3,3,,,,,,,,,,,
660,Longueuil,,356,65.5,209,147,,,,,,,,,,,
661,Montreal,,35,55.5,13,22,,,,,,,,,,,
662,Montreal,,10,26,10,,,,,,,,,,,,
663,Montreal,,48,8.33,23,25,48,,,,,,,,,,
664,Montreal,,62,33,30,32,,,,,,,,,,,
665,Montreal,,39,37.55,30,9,,,,,,,,,,,
666,Montreal,8,8,29.69,2,6,,,,,,,,,,,
667,Montreal,,96,20.32,40,46,,,,,,,,,,,
668,Montreal,17,17,51,,,,,,,,,,,,,
670,Montreal,12,12,25,12,,,,,,,,,,,,
671,Montreal,,21,30,,,,,,,,,,,,,
672,Montreal,,28,43.15,13,15,,,,,,,,,,,
673,Montreal,,37,24.23,26,11,,,,,,,,,,,
674,Montreal,,92,15.9,19,73,,,,,,,,,,,
675,Montreal,,50,62.28,26,24,,,,,,,,,,,
676,Montreal,,56,30.6,32,24,,,,,,,,,,,
677,Montreal,,68,47,26,42,,,,,,,,,,,
678,Montreal,,24,40.1,12,12,,,,,,,,,,,
679,Montreal,,236,31.5,117,119,,,,,,,,,,,
680,Montreal,,2,33,1,1,,,,,,,,,,,
681,Montreal,,170,40.995,88,82,170,,,,,,,,,,
682,Montreal,,26,38.2,18,8,,,,,,,,,,,
683,Montreal,,98,28.9,46,52,,,,,,,,,,,
684,Montreal,,19,,,,,,,,,,,,,,
685,Montreal,14,14,,,,,,,,,,,,,,
686,Montreal,,82,29.8,34,48,,,,,,,,,,,
687,Montreal,,28,25.3,12,16,,,,,,,,,,,
688,Montreal,,,24.4,,,,,,,,,,,,,
689,Montreal,,75,,,,,,,,,,,,,,
690,Montreal,,56,33.6,23,33,,,,,,,,,,,
691,Montreal,,3,30,2,1,,,,,,,,,,,
692,Montreal,,13,27.4,6,7,,,,,,,,,,,
693,Sherbrooke,,43,62.3,,,,,,,,,,,,,
694,Montreal,,28,,,,,,,,,,,,,,
695,Montreal,,,42,,,,,,,,,,,,,
696,Montreal,,,26,,,,,,,,,,,,,
697,Montreal,,,,,,,,,,,,,,,,
698,Montreal,,10,24.3,5,5,,,,,,,,,,,
699,Montreal,,31,36.9,20,11,,,,,,,,,,,
700,Montreal,,71,18.24,18,53,,,,,,,,,,,
701,Montreal,,86,39.7,40,46,,,,,,,,,,,
702,Montreal,,109,37,40,69,,,,,,,,,,,
703,Montreal,,41,63.1,21,20,,,,,,,,,,,
704,Montreal,50,50,38.3,24,26,,,,,,,,,,,
705,Sherbrooke,,7,,5,2,,,,,,,,,,,
706,Montreal,,38,22.46,,,,,,,,,,,,,
707,Montreal,11,11,63.36,7,4,,,,,,,,,,,
708,Montreal,,21,23.6,8,13,,,,,,,,,,,
709,Montreal,,10,,4,6,,,,,,,,,,,
710,Montreal,,6,49.7,,6,,,,,,,,,,,
711,Sherbrooke,,22,52.5,17,5,,,,,,,,,,,
712,Montreal,,13,,7,6,,,,,,,,,,,
713,Sherbrooke,,40,61.5,23,17,,,,,,,,,,,
714,Montreal,,24,26.04,13,11,,,,,,,,,,,
715,Montreal,,11,48.8,6,5,,,,,,,,,,,
716,Montreal,,56,,34,22,,,,,,,,,,,
717,Montreal,,20,27,10,10,,,,,,,,,,,
718,Montreal,,22,38,11,11,,,,,,,,,,,
719,Montreal,,204,24.2,139,65,,,,,,,,,,,
720,Montreal,,33,10.38,23,10,,,,,,,,,,,
721,Montreal,,88,24.3,62,26,,,,,,,,,,,
722,Montreal,,29,,18,11,,,,,,,,,,,
723,Montreal,,26,62.32,12,14,,,,,,,,,,,
724,Sherbrooke,,9,,,,,,,,,,,,,,
725,Montreal,,17,24.3,7,11,,,,,,,,,,,
726,Montreal,,,52.3,133,113,,,,,,,,,,,
727,Montreal,,11,62.36,6,5,,,,,,,,,,,
728,Montreal,,24,44,12,12,,,,,,,,,,,
729,Montreal,,28,43.75,13,15,,,,,,,,,,,
730,Montreal,,36,,6,30,,,,,,,,,,,
731,Montreal,,19,66,9,10,,,,,,,,,,,
732,"Trois-Rivières, Drummondville",,5,81.6,3,2,,,,,,,,,,,
733,Montreal,,20,,5,15,,,,,,,,,,,
734,Montreal,,,36,,,,,,,,,,,,,
735,Montreal,,20,30.5,8,12,,,,,,,,,,,
736,Montreal,,28,33,14,14,,,,,,,,,,,
737,Montreal,,23,14.1,16,7,,,,,,,,,,,
738,Montreal,,10,25.8,10,,,,,,,,,,,,
739,Montreal,,20,23.7,20,,,,,,,,,,,,
740,Montreal,,25,5.85,9,16,14,,,,,2,,,,,
741,Montreal,,80,23.9,58,22,,,,,,,,,,,
742,Montreal,,139,24.4,98,41,,,,,,,,,,,
743,Montreal,,30,34.2,20,10,,,,,,,,,,,
744,Montreal,63,,54,13,50,,,,,,,,,,,
745,Montreal,,38,10,17,21,,,,,,,,,,,
746,Montreal,,40,,,,,,,,,,,,,,
747,Montreal,,31,0.014,17,14,,,,,,,,,,,
748,Montreal,,12,28.8,6,6,,,,,,,,,,,
749,Montreal,,7,33.1,2,5,,,,,,,,,,,
750,Montreal,,11,73.7,,,,,,,,,,,,,
751,Montreal,,28,21.62,,,,,,,,,,,,,
752,Montreal,,10,29,5,5,,,,,,,,,,,
753,Montreal,506,,69,266,240,,,,,,,,,,,
754,Montreal,,23,26.22,11,12,,,,,,,,,,,
755,Montreal,,10,29,5,5,,,,,,,,,,,
756,Montreal,,44,,,,,,,,,,,,,,
757,Montreal,,30,34.85,23,7,,,,,,,,,,,
758,Montreal,,74,,,,,,,,,,,,,,
759,Montreal,,46,,21,25,,,,,,,,,,,
760,Montreal,,22,,9,23,,,,,,,,,,,
761,Montreal,15,,23,,15,,,,,,,,,,,
762,Montreal,,46,57.5,15,31,,,,,,,,,,,
763,Montreal,,16,,,,,,,,,,,,,,
764,Montreal,12,12,24,,12,,,,,,,,,,,
765,Montreal,,21,,,,,,,,,,,,,,
766,Montreal,12,12,24.1,6,6,,,,,,,,,,,
767,Montreal,,9,51,2,7,,,,,,,,,,,
768,Montreal,,219,32.5,101,118,,,,,,,,,,,
769,Montreal,,23,28,13,10,,,,,,,,,,,
770,Montreal,8,8,23.1,8,,,,,,,,,,,,
771,Montreal,,57,23.9,,,,,,,,,,,,,
772,Montreal,,8,30,4,4,,,,,,,,,,,
773,Montreal,,99,32,47,52,,,,,,,,,,,
774,Montreal,,6,47,1,5,,,,,,,,,,,
775,Montreal,,20,42.3,7,13,,,,,,,,,,,
776,Montreal,,198,0.75,115,83,,,,,,,,,,,
777,Montreal,,40,33.5,21,19,,,,,,,,,,,
778,Montreal,15,,34.4,11,4,,,,,,,,,,,
779,Montreal,,17,31.9,,,,,,,,,,,,,
780,Montreal,,51,31.5,25,36,,,,,,,,,,,
781,Montreal,,28,,,,,,,,,,,,,,
782,Montreal,,20,35,10,10,,,,,,,,,,,
783,Montreal,,33,,18,15,,,,,,,,,,,
784,Montreal,,21,37,9,12,,,,,,,,,,,
785,Montreal,,324,35,141,183,,,,,,,,,,,
786,Montreal,26,,36.8,19,7,,,,,,,,,,,
787,Montreal,8,8,23.8,8,,,,,,,,,,,,
788,Montreal,,136,8.3,,65,,,,,,,,,,,
789,Montreal,,6,25.2,4,2,,,,,,,,,,,
790,Montreal,,21,29,12,9,,,,,,,,,,,
791,Montreal,,10,,3,7,,,,,,,,,,,
792,Montreal,,20,10.2,16,4,,,,,,,,,,,
793,Montreal,,10,39.1,,,,,,,,,,,,,
794,Montreal,,14,9.8,,14,,,,,,,,,,,
795,Montreal,15,15,,10,5,,,,,,,,,,,
796,Montreal,,2,,,,,,,,,,,,,,
797,Montreal,,14,9.9,,14,14,,,,,,,,,,
798,Montreal,,64,,40,24,,,,,,,,,,,
799,Montreal,,20,24.3,,20,20,,,,,,,,,,
800,Montreal,,10,,,,,,,,,,,,,,
801,Montreal,,17,31.38,13,4,,,,,,,,,,,
802,Montreal,,44,34.2,,,,,,,,,,,,,
803,Montreal,,30,26.8,15,15,,,,,,,,,,,
804,Montreal,,33,31.45,20,13,,,,,,,,,,,
805,Montreal,,14,48.7,6,8,,,,,,,,,,,
806,Montreal,,50,35.5,31,19,,,,,,,,,,,
807,Montreal,,8,30,3,5,,,,,,,,,,,
808,Montreal,,52,31.8,27,25,,,,,,,,,,,
809,Montreal,,16,25.4,8,8,,,,,,,,,,,
810,Montreal,,34,25.7,,,34,,,,,,,,,,
811,Montreal,,6,,4,2,6,,,,,,,,,,
812,Montreal,,10,24.7,5,5,,,,,,,,,,,
813,Montreal,,3,,,,,,,,,,,,,,
814,Montreal,,6,,,,,,,,,,,,,,
815,Montreal,,81,26.5,43,38,,,,,,,,,,,
816,Montreal,,12,15.7,,12,,,,,,,,,,,
817,Montreal,,5,35.2,3,2,,,,,,,,,,,
818,Montreal,18,18,66.6,12,6,,,,,,,,,,,
819,Montreal,,10,,,,,,,,,,,,,,
820,Montreal,,28,,10,18,,,,,,,,,,,
821,Montreal,,71,22.7,35,36,,,,,,,,,,,
822,Montreal,,152,33,63,89,,,,,,,,,,,
823,Montreal,,72,,36,36,,,,,,,,,,,
824,Quebec City,,19,28.84,16,3,,,,,,,,,,,
825,Montreal,,16,30.45,8,8,,,,,,,,,,,
826,Montreal,,42,29.97,17,25,,,,,,,,,,,
827,Montreal,,69,32.7,33,36,,,,,,,,,,,
828,Montreal,,33,10.59,13,20,,,,,,,,,,,
829,Quebec City,,149,53,42,107,,,,,,,,,,,
830,Montreal,,23,12.2,9,14,,,,,,,,,,,
831,Montreal,10,10,,,,,,,,,,,,,,
832,Estrie,,34,51,,,,,,,,,,,,,
833,Montreal,,25,10.3,13,12,,,,,,,,,,,
834,Montreal,60,56,43.5,24,36,,,,,,,,,,,
835,Quebec City,,,,,,,,,,,,,,,,
836,Montreal,,74,,38,36,,,,,,,,,,,
837,Montreal,,62,,21,41,,,,,,,,,,,
838,Montreal,,2,,,2,,,,,,,,,,,
839,Montreal,,6,30.5,3,3,,,,,,,,,,,
840,Montreal,,8,30.5,4,4,,,,,,,,,,,
841,Montreal,12,12,45,,,,,,,,,,,,,
842,Montreal,4,21,43.8,10,11,,,,,,,,,,,
843,Montreal,9,9,58.3,5,4,,,,,,,,,,,
844,Montreal,,27,,,,,,,,,,,,,,
845,Montreal,,14,67.3,,,,,,,,,,,,,
846,Montreal,,84,,,,,,,,,,,,,,
847,Montreal,,34,23.4,16,18,,,,,,,,,,,
848,Montreal,14,14,58.5,,,,,,,,,,,,,
849,Montreal,,54,,,,,,,,,,,,,,
850,Montreal,,172,,,,,,,,,,,,,,
851,Sherbrooke,,65,≥ 0.69,,,,,,,,,,,,,
852,Montreal,,23,22.7,10,13,,,,,,,,,,,
853,Montreal,,11,24.73,6,5,,,,,,,,,,,
854,Montreal,,22,22.6,,,,,,,,,,,,,
855,Montreal,,30,,,,,,,,,,,,,,
856,Montreal,,25,,13,12,,,,,,,,,,,
857,Montreal,,20,48.5,,20,,,,,,,,,,,
858,Montreal,,21,24.5,8,13,,,,,,,,,,,
859,Montreal,,84,28,40,44,,,,,,,,,,,
860,Montreal,,31,23.9,10,21,,,,,,,,,,,
861,Montreal,,11,26.5,,,,,,,,,,,,,
862,Montreal,,12,23.5,5,7,,,,,,,,,,,
863,Montreal,10,10,26.6,10,0,,,,,,,,,,,
864,Montreal,,49,66.04,20,29,,,,,,,,,,,
865,Montreal,,37,25,19,18,,,,,,,,,,,
866,Montreal,,12,24.1,5,7,,,,,,,,,,,
867,Montreal,,15,,9,6,,,,,,,,,,,
868,Montreal,,13,24.5,13,,,,,,,,,,,,
869,Montreal,,11,26.9,3,8,,,,,,,,,,,
870,Montreal,,35,33,17,18,,,,,,,,,,,
871,Montreal,,4,,1,3,,,,,,,,,,,
872,Montreal,,15,29,7,8,,,,,,,,,,,
873,Montreal,,66,66.1,28,38,,,,,,,,,,,
874,Montreal,,10,,,,,,,,,,,,,,
875,Montreal,,45,64.38,22,23,,,,,,,,,,,
876,Montreal,,36,41.2,,,,,,,,,,,,,
877,Montreal,12,12,23.3,5,7,,,,,,,,,,,
878,Montreal,,52,,24,28,,,,,,,,,,,
879,Montreal,,18,,,,,,,,,,,,,,
880,Montreal,120,,63.5,31,89,,,,,,,,,,,
881,Montreal,12,12,22,6,6,,,,,,,,,,,
882,Montreal,,212,33,96,116,,,,,,,,,,,
883,Montreal,,8,39,,,,,,,,,,,,,
884,Montreal,,88,26,37,51,,,,,,,,,,,
885,Montreal,,24,28.8,12,12,,,,,,,,,,,
886,Montreal,,101,34,55,46,,,,,,,,,,,
887,Montreal,,184,34.5,79,105,,,,,,,,,,,
888,Montreal,,9,24.11,4,5,,,,,,,,,,,
889,Montreal,,120,,,,,,,,,,,,,,
890,Montreal,,41,28,16,25,,,,,,,,,,,
891,Montreal,,16,,,,,,,,,,,,,,
892,Montreal,,37,28.5,13,24,,,,,,,,,,,
893,Montreal,,,38,,,,,,,,,,,,,
894,Montreal,,28,28,11,25,,,,,,,,,,,
895,Montreal,,10,62.5,8,2,,,,,,,,,,,
896,Montreal,,27,24.85,14,13,,,,,,,,,,,
897,Montreal,,43,,,,,,,,,,,,,,
898,Montreal,,19,22.5,23,,,,,,,,,,,,
899,Montreal,,38,70.2,16,22,,,,,,,,,,,
900,Montreal,,21,25.24,11,10,,,,,,,,,,,
901,Montreal,,,,,,,,,,,,,,,,
902,Montreal,,33,,11,22,,,,,,,,,,,
903,Montreal,,3,,,,,,,,,,,,,,
904,Montreal,,16,24.4,8,8,,,,,,,,,,,
905,Montreal,,30,32.5,18,12,,,,,,,,,,,
906,Montreal,7,7,29,4,3,,,,7,,,,,,,
907,Montreal,24,,,12,12,,,,12,,12,,,,,
908,Montreal,,30,14.2,15,15,,,,,,,,,,,
909,Montreal,,10,22,5,5,,,,,,,,,,,
910,Montreal,,175,35,79,56,,,,,,,,,,,
911,Montreal,,81,60.8,56,25,,,,,,,,,,,
912,Montreal,,14,,5,9,,,,,,,,,,,
913,Montreal,,22,29,10,12,,,,,,,,,,,
914,Montreal,,10,,,,,,,,,,,,,,
915,Montreal,12,12,35.1,6,6,,,,,,,,,,,
916,Montreal,,16,,,,,,,,,,,,,,
917,Montreal,,59,25.4,20,39,,,,,,,,,,,
918,Montreal,,29,29.5,11,18,,,,,,,,,,,
919,Montreal,,38,75.8,21,17,,,,,,,,,,,
920,Montreal,,25,24.8,12,13,,,,,,,,,,,
921,Montreal,,46,57,14,32,,,,,,,,,,,
922,Montreal,,10,,6,4,,,,,,,,,,,
923,Montreal,,25,27.4,15,10,,,,,,,,,,,
924,Montreal,,20,25.5,20,0,,,,,,,,,,,
925,Montreal,,8,,,,,,,,,,,,,,
926,Montreal,,19,64,12,7,,,,,,,,,,,
927,Montreal,,6,,4,2,,,,,,,,,,,
928,Montreal,,11,,6,5,,,,,,,,,,,
929,Montreal,,40,24.5,20,20,,,,,,,,,,,
930,Montreal,,25,27.4,15,10,,,,,,,,,,,
931,Montreal,,45,76,24,21,,,,,,,,,,,
932,Montreal,,4,,1,3,4,,,,,,,,,,
933,Montreal,,15,28.3,2,13,,,,,,,,,,,
934,Montreal,,,65.7,,,,,,,,,,,,,
935,Quebec City,,8,11.4,4,4,,,,,,,,,,,
936,Montreal,,9,62,5,4,,,,,,,,,,,
937,Montreal,,42,38.5,,,,,,,,,,,,,
938,Montreal,,19,,10,9,,,,,,,,,,,
939,Montreal,,8,68.75,5,3,,,,,,,,,,,
940,Montreal,,9,26,4,5,,,,,,,,,,,
941,Montreal,,28,,14,14,,,,,,,,,,,
942,Montreal,,51,,10,41,,,,,,,,,,,
943,Montreal,,28,,13,15,,,,,,,,,,,
944,Montreal,,20,,9,11,,,,,,,,,,,
945,Montreal,,10,68.9,7,3,,,,,,,,,,,
946,Montreal,,21,23.33,9,12,,,,,,,,,,,
947,Montreal,,11,27,7,4,,,,,,,,,,,
948,Montreal,,12,33,3,9,,,,,,,,,,,
949,Montreal,,20,37,5,15,,,,,,,,,,,
950,"Montreal, Sherbrooke",,114,68,74,40,,,,,,,,,,,
951,Montreal,,100,48.2,55,45,,,,,,,,,,,
952,Montreal,,22,30.5,12,10,,,,,,,,,,,
953,Montreal,,33,30,17,16,,,,,,,,,,,
954,Montreal,12,12,24.8,6,6,,,,,,,,,,,
955,Montreal,,34,36,14,20,,,,,,,,,,,
956,Montreal,8,8,23,3,5,,,,,,,,,,,
957,Montreal,,105,25.4,63,42,,,,,,,,,,,
958,Montreal,,49,29.98,28,21,,,,,,,,,,,
959,Montreal,13,13,24,6,7,,,,,,,,,,,
960,Montreal,48,48,,25,23,,,,,,,,,,,
961,Montreal,6,,28,2,4,,,,,,,,,,,
962,Montreal,,15,33,8,7,,,,,,,,,,,
963,Montreal,,25,20,10,15,,,,,,,,,,,
964,Montreal,,14,,,,,,,,,,,,,,
965,Montreal,16,16,,8,8,,,,,,,,,,,
966,Montreal,,247,23.3,187,60,,,,,,,,,,,
967,Montreal,,11,26.9,3,11,,,,,,,,,,,
968,Montreal,9,9,24.5,9,,,,,,,,,,,,
969,Montreal,,11,23,3,8,,,,,,,,,,,
970,Sherbrooke,31,,,,31,,,,,,,,,,,
971,Montreal,,10,25.5,5,5,6,,1,,,,3,,,,
972,Montreal,17,17,,8,9,,,,,,,,,,,
973,Montreal,9,9,,9,,,,,,,,,,,,
974,Montreal,9,9,28,3,9,,,,,,,,,,,
975,Montreal,12,12,25,6,6,,,,,,,,,,,
976,Montreal,,37,,,,,,,,,,,,,,
977,Montreal,,17,34.4,9,8,,,,,,,,,,,
