Study ID,Geographical location,PET participants,MRI participants,Average Age (Years),Male,Female,Caucasian,Black,African-American,Asian,Other,Not specified,Asian American,Middle Eastern,Carribean,Jewish,Caucasian-Hispanic
113,Montreal,,94,,,,,,,,,,,,,,
114,Montreal,,20,10.2,16,4,,,,,,,,,,,
115,Sherbrooke,,20,,13,7,,,,,,,,,,,
116,Sherbrooke,,15,20.5,5,10,,,,,,,,,,,
117,Montreal,,30,27.9,17,13,,,,,,,,,,,
118,Montreal,6,,22,6,,,,,,,,,,,,
119,Montreal,22,18,35,11,14,,,,,,,,,,,
120,Montreal,11,11,,5,6,,,,,,,,,,,
121,Montreal,,32,,,,,,,,,,,,,,
122,Montreal,35,35,,,,,,,,,,,,,,
123,Montreal,,15,28.8,,,,,,,,,,,,,
124,Montreal,,46,32,,,,,,,,,,,,,
125,Montreal,,69,32.5,29,40,,,,,,,,,,,
126,Montreal,,14,22.14,,14,,,,,,,,,,,
127,Montreal,,121,56.5,73,48,,,,,,,,,,,
128,Montreal,,24,44,6,18,,,,,,,,,,,
129,Quebec City,,33,19.17,17,16,31,,,,,,,,,,
130,Montreal,,180,,68,112,123,,,,57,,,,,,
131,Montreal,14,14,22.07,,14,,,,,,,,,,,
132,Montreal,,130,31.5,,,,,,,,,,,,,
133,Montreal,,12,,5,7,,,,,,,,,,,
134,Montreal,,15,24.95,,,,,,,,,,,,,
135,"Montreal, Sherbrooke, Quebec City",,62,67.6,42,20,,,,,,,,,,,
136,Montreal,,9,57.1,,,,,,,,,,,,,
137,Montreal,,24,,13,11,,,,,,,,,,,
138,Montreal,,33,73.4,18,15,,,,,,,,,,,
139,Montreal,,13,,7,6,,,,,,,,,,,
140,Montreal,,16,27,7,9,,,,,,,,,,,
141,Montreal,,17,26.8,9,8,,,,,,,,,,,
142,Montreal,,8,,4,4,,,,,,,,,,,
143,Montreal,,40,41,,,,,,,,,,,,,
144,Montreal,113,113,,45,68,,,,,,,,,,,
145,Montreal,,20,74.35,,,,,,,,,,,,,
146,Quebec City,,22,,8,14,,,,,,,,,,,
147,Montreal,,114,,78,36,,,,,,,,,,,
148,Montreal,12,12,67,6,6,,,,,,,,,,,
149,Montreal,,43,,26,17,,,,,,,,,,,
150,Montreal,,15,23,,,,,,,,,,,,,
151,Montreal,,7,,,,,,,,,,,,,,
152,Montreal,22,12,58.4,12,10,,,,,,,,,,,
153,Montreal,,14,43.5,6,8,,,,,,,,,,,
154,Montreal,,14,,6,8,,,,,,,,,,,
155,Montreal,,33,67.3,20,13,,,,,,,,,,,
156,Montreal,,55,21.4,,,,,,,,,,,,,
157,Montreal,,86,17.22,41,45,,,,,,,,,,,
158,Montreal,,16,35.7,,,,,,,,,,,,,
159,Montreal,,54,69.9,17,37,,,,,,,,,,,
160,Montreal,,34,24.5,16,18,,,,,,,,,,,
161,Montreal,10,10,24.2,10,,,,,,,,,,,,
162,Montreal,,63,,32,31,,,,,,,,,,,
163,Montreal,,24,23.5,9,15,,,,,,,,,,,
164,Montreal,,58,25.65,33,25,,,,,,,,,,,
165,Montreal,,2,38,1,1,,,,,,,,,,,
166,Montreal,,40,35,,,,,,,,,,,,,
167,Montreal,,125,13.5,57,68,,,,,,,,,,,
168,Montreal,18,18,,,18,,,,,,,,,,,
